time,total,stem,non_stem,avg_nutrient,min_nutrient,max_nutrient,therapy_active
0.0,9,9,0,1.9999296874999999,1.9609521736631723,2.0,0
1.0,9,9,0,1.9998593749999998,1.9446664798331255,2.0,0
2.0,9,9,0,1.9997890625000003,1.938661724338725,2.0,0
3.0,9,9,0,1.9997187500000002,1.93396065331089,2.0,0
4.0,9,9,0,1.9996484375,1.9285605987441639,2.0,0
5.0,9,9,0,1.999578125,1.9302350833112794,2.0,0
6.0,9,9,0,1.9995078124999999,1.9306038360131796,2.0,0
7.0,9,9,0,1.9994375000000002,1.928878896852042,2.0,0
8.0,9,9,0,1.9993671875,1.9264085863755156,2.0,0
9.0,9,9,0,1.999296875,1.9240883208689954,2.0,0
10.0,9,9,0,1.9992265625,1.9226874989237048,2.0,0
11.0,9,9,0,1.9991562500000004,1.9212166910745923,2.0,0
12.0,9,9,0,1.9990859374999999,1.9195742915245855,2.0,0
13.0,9,9,0,1.9990156250000002,1.9182088758792877,2.0,0
14.0,9,9,0,1.9989453125,1.9195109946245057,2.0,0
15.0,9,9,0,1.9988750000000002,1.9177595223539718,2.0,0
16.0,9,9,0,1.9988046875,1.9163574300237438,2.0,0
17.0,9,9,0,1.9987343750000002,1.9149599938861552,2.0,0
18.0,9,9,0,1.9986640625,1.9135581675553077,2.0,0
19.0,9,9,0,1.99859375,1.9150636115438255,2.0,0
20.0,9,9,0,1.9985234374999998,1.9135717532368834,2.0,0
21.0,10,10,0,1.9984531250000004,1.912649873130302,2.0,0
22.0,13,12,1,1.9983750000000002,1.9115504593859132,2.0,0
23.0,16,14,2,1.9982671875,1.8963172593988238,2.0,0
24.0,16,14,2,1.9981296875,1.8851283137625936,2.0,0
25.0,17,14,3,1.9979921875000002,1.8776286898633179,1.9999999999999998,0
26.0,18,14,4,1.997840625,1.8761164742723464,1.9999999999999984,0
27.0,18,14,4,1.997675,1.8738705859797011,1.9999999999999953,0
28.0,18,14,4,1.9975093750000001,1.8694115091426122,1.9999999999999885,0
29.0,18,14,4,1.99734375,1.863043068156202,1.9999999999999718,0
30.0,18,14,4,1.997178125,1.8552636463627898,1.9999999999999358,0
31.0,18,14,4,1.9970125,1.8503195157239756,1.9999999999998606,0
32.0,18,14,4,1.996846875,1.8457686486501363,1.99999999999971,0
33.0,18,14,4,1.99668125,1.8450928046324966,1.9999999999994194,0
34.0,18,14,4,1.996515625,1.8431566028214619,1.9999999999988802,0
35.0,18,14,4,1.9963500000000003,1.8467938088411793,1.9999999999979117,0
36.0,18,14,4,1.9961843750000003,1.8445025195031435,1.9999999999962252,0
37.0,18,14,4,1.9960187500000002,1.8429778160449735,1.9999999999933715,0
38.0,18,14,4,1.9958531250000002,1.8416422552249496,1.9999999999886682,0
39.0,18,14,4,1.9956875000000003,1.8403792628933617,1.9999999999811058,0
40.0,18,14,4,1.9955218750000001,1.8390897821957823,1.9999999999692213,0
41.0,18,14,4,1.9953562500000002,1.837658171744311,1.999999999950939,0
42.0,18,14,4,1.995190625,1.8355012732862073,1.999999999923368,0
43.0,20,15,5,1.9950250000000003,1.834025089261346,1.999999999882555,0
44.0,20,15,5,1.9948375,1.8373055746949922,1.9999999998231819,0
45.0,22,16,6,1.99465,1.8351393769630522,1.999999999738202,0
46.0,23,17,6,1.9944406250000002,1.8290522227923494,1.9999999996184166,0
47.0,25,19,6,1.9942234375,1.8185682342845793,1.9999999994519744,0
48.0,29,21,8,1.9939906250000001,1.8210411973454141,1.9999999992238007,0
49.0,31,21,10,1.9937140625,1.810868277674466,1.9999999989149462,0
50.0,33,22,11,1.993409375,1.8026823102023448,1.9999999985018544,0
51.0,35,23,12,1.9930828125,1.7967806893556073,1.9999999979555418,0
52.0,36,23,13,1.992734375,1.789594080887216,1.9999999972406977,0
53.0,36,23,13,1.9923718750000001,1.7849311814915276,1.9999999963146922,0
54.0,36,23,13,1.992009375,1.7799852796685534,1.9999999951264995,0
55.0,36,23,13,1.991646875,1.7569473065744712,1.9999999936155324,0
56.0,36,23,13,1.9912843750000002,1.749295022558791,1.9999999917103923,0
57.0,36,23,13,1.990921875,1.7458155728732114,1.9999999893275318,0
58.0,36,23,13,1.9905593750000004,1.738951623670835,1.9999999863698321,0
59.0,36,23,13,1.990196875,1.7329325995951137,1.9999999827250996,0
60.0,36,23,13,1.989834375,1.7286523903513518,1.9999999782644777,0
61.0,36,23,13,1.9894718750000002,1.7223443763410415,1.9999999728407822,0
62.0,36,23,13,1.989109375,1.712404578987546,1.9999999662867567,0
63.0,36,23,13,1.9887468750000001,1.7032005214639787,1.9999999584132562,0
64.0,36,23,13,1.9883843749999999,1.6952976854630297,1.9999999490073577,0
65.0,36,23,13,1.988021875,1.68548142608649,1.9999999378304039,0
66.0,38,23,15,1.987659375,1.6843877003115677,1.9999999246159836,0
67.0,40,25,15,1.9872687500000001,1.6824566866294286,1.9999999090678529,0
68.0,42,25,17,1.9868625000000002,1.6783040193217453,1.9999998908578005,0
69.0,44,25,19,1.9864281250000002,1.676780366236275,1.9999998696234673,0
70.0,47,26,21,1.985965625,1.6767562254248132,1.9999998449661187,0
71.0,51,27,24,1.9854671875,1.6592293152508086,1.9999998164483819,0
72.0,54,27,27,1.9849187499999998,1.6576169243786714,1.9999997835919485,0
73.0,56,28,28,1.9843281250000002,1.6441940952802467,1.9999997458752516,0
74.0,60,28,32,1.9837156249999999,1.6338705312388964,1.999999702731119,0
75.0,66,30,36,1.983046875,1.6162062639378592,1.999999653544413,0
76.0,67,31,36,1.98230625,1.6017188073006494,1.999999597649654,0
77.0,70,32,38,1.9815578125000002,1.5845132122818357,1.999999534328638,0
78.0,72,33,39,1.9807734375000001,1.570451151332758,1.999999462808044,0
79.0,72,33,39,1.9799671875000002,1.5636955366385816,1.9999993822570366,0
80.0,72,33,39,1.9791609375,1.5499805979272672,1.9999992917848624,0
81.0,72,33,39,1.9783546875000002,1.5406270594685116,1.9999991904384347,0
82.0,72,33,39,1.9775484375000003,1.5271028357298078,1.9999990771999023,0
83.0,72,33,39,1.9767421875000002,1.5139047813608049,1.9999989509842004,0
84.0,72,33,39,1.9759359375000003,1.496223891076635,1.9999988106365663,0
85.0,72,33,39,1.9751296875000002,1.4815411541408754,1.9999986549300166,0
86.0,73,33,40,1.9743234375,1.4688384334170719,1.9999984825627697,0
87.0,73,33,40,1.973503125,1.4633474411841907,1.9999982921556017,0
88.0,74,33,41,1.9726828125000002,1.4541415675139235,1.9999980822491188,0
89.0,74,33,41,1.9718484375000003,1.4446539293746004,1.999997851300938,0
90.0,78,34,44,1.9710140625000003,1.4354954386674574,1.9999975976827538,0
91.0,82,36,46,1.9701296875000003,1.4268384003547854,1.9999973196772873,0
92.0,87,38,49,1.9692015625000001,1.4149400933177796,1.9999970154751003,0
93.0,89,38,51,1.9682156249999998,1.4056280967987353,1.9999966831712688,0
94.0,90,38,52,1.9672015625000001,1.4073824813019127,1.999996320761912,0
95.0,95,38,57,1.9661734375,1.4038108591787848,1.9999959261405702,0
96.0,104,42,62,1.9650750000000001,1.3979615238041752,1.9999954970944376,0
97.0,108,43,65,1.9638749999999998,1.375809583279706,1.9999950313004484,0
98.0,118,45,73,1.962625,1.3556212718848208,1.9999945263212233,0
99.0,124,47,77,1.9612468749999998,1.3360661581909936,1.9999939796008834,0
100.0,131,51,80,1.959796875,1.3177155828481373,1.9999933884607337,0
101.0,134,52,82,1.9582734375000002,1.2925976547901028,1.9999927500948234,0
102.0,139,53,86,1.9567140625000001,1.2671019664604575,1.9999920615653815,0
103.0,142,53,89,1.9550906250000002,1.238433229746191,1.9999913197981256,0
104.0,143,53,90,1.9534250000000002,1.2064964634625646,1.999990521577435,0
105.0,143,53,90,1.9517453125,1.1749934402250874,1.999989663541376,0
106.0,144,53,91,1.9500656250000004,1.1495051101763025,1.9999887421765632,0
107.0,144,53,91,1.948371875,1.1242494048417402,1.9999877538128275,0
108.0,144,53,91,1.9466781250000003,1.1082972986152626,1.9999866946176765,0
109.0,145,53,92,1.944984375,1.085554916595468,1.9999855605905097,0
110.0,146,53,93,1.9432765625000001,1.0634861856855444,1.9999843475565622,0
111.0,146,53,93,1.9415546875,1.044913326160023,1.9999830511605516,0
112.0,147,53,94,1.9398328125,1.0201824543287137,1.999981666859997,0
113.0,149,53,96,1.938096875,1.0059143349937274,1.9999801899181837,0
114.0,153,54,99,1.9363328125000001,0.9914590633587279,1.9999786153967587,0
115.0,160,56,104,1.9345187500000003,0.9769813582478113,1.9999769381479295,0
116.0,166,57,109,1.93261875,0.9678150182822333,1.9999751528062562,0
117.0,176,59,117,1.930640625,0.9450447114362126,1.9999732537800217,0
118.0,182,60,122,1.9285343750000004,0.924646205346105,1.999971235242175,0
119.0,190,60,130,1.92635,0.9096150177049582,1.999969091120834,0
120.0,204,62,142,1.9240531249999997,0.8869541913889551,1.9999668150893521,0
121.0,217,65,152,1.9215718750000002,0.852565565396141,1.999964400555935,0
122.0,230,67,163,1.9189265625000003,0.8179152978464156,1.9999618406528101,0
123.0,241,72,169,1.9161109375,0.7873767297716684,1.9999591282249396,0
124.0,251,75,176,1.9131718750000002,0.7636407080874,1.9999562558182657,0
125.0,262,80,182,1.9101109375,0.7409082467401338,1.9999532156674729,0
126.0,267,80,187,1.9069265625000003,0.6980325245666282,1.9999499996832484,0
127.0,276,80,196,1.903671875,0.6571539348305111,1.9999465994390098,0
128.0,283,82,201,1.900290625,0.617379782204475,1.9999430061570689,0
129.0,285,82,203,1.8968234375,0.5789152706227286,1.999939210694191,0
130.0,287,83,204,1.8933281249999998,0.539154722242406,1.999935203526511,0
131.0,288,83,205,1.8898109375,0.49912012529119865,1.9999309747337608,0
132.0,288,83,205,1.8862796875,0.4571521430759842,1.9999265139827682,0
133.0,288,83,205,1.8827484375,0.41721660955286544,1.999921810510192,0
134.0,290,83,207,1.8792171875000003,0.3793026919752262,1.9999168531044622,0
135.0,293,83,210,1.8756578124999999,0.3434946180441508,1.9999116300869095,0
136.0,295,84,211,1.87205625,0.311974358182169,1.9999061292920726,0
137.0,300,85,215,1.8684328125000003,0.27973296520579993,1.9999003380471931,0
138.0,304,85,219,1.8647453125000002,0.24757489739157998,1.9998942431509144,0
139.0,311,85,226,1.8610015625,0.21638755304519125,1.9998878308512142,0
140.0,323,88,235,1.857159375,0.18579060778773304,1.9998810868226087,0
141.0,333,94,239,1.8531671875,0.15475855778161146,1.99987399614267,0
142.0,342,96,246,1.8490718750000001,0.12378937387455086,1.9998665432679024,0
143.0,356,100,256,1.8448625,0.09486295921780151,1.9998587120090148,0
144.0,368,101,267,1.8404812500000003,0.06603086629312,1.9998504855056138,0
145.0,375,103,272,1.8359375,0.03547310014346649,1.9998418462003404,0
146.0,380,107,273,1.8313078124999997,0.004688600430351448,1.9998327758124288,0
147.0,394,110,284,1.8266540889953915,0.0,1.999823255310666,0
148.0,406,113,293,1.8218723176908294,0.0,1.99981326488568,0
149.0,423,119,304,1.8169943978259067,0.0,1.9998027839214672,0
